,College,Location,University,Course Offered,Ownership Type,Phone Number,Email
722,Ekatappa Multiple Campus,"Fakphokthum, Ilam",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
723,Mangalodaya Multiple Campus,"Thankot, Chandragiri, Kathmandu",National Examinations Board,"Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Master of Business Studies
        (MBS)",community Institution,01-4312101,campusmangalodaya@gmail.com
724,Mangal Multiple campus,"Kirtipur-10, Kirtipur, Kathmandu",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,"01-4330544, 01-4335560",
725,Nepal Rastriya (NR) College,"Manmaiju, Tarakeshwor, Kathmandu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)
 Master of Business Studies
        (MBS)",community Institution,"01-4350469, 4366262",
726,Makwanpur Multiple Campus,"Hetauda-2, Hetauda, Makwanpur",National Examinations Board,"Bachelor of Business Administration
        (BBA)
 Bachelor of Education
        (BEd)
 Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 BSc Physics
 Bachelor of Business Management
        (BBM)
 MA in English
        (MA English)
 Master of Business Studies
        (MBS)
 MA in Sociology
 MA in Anthropology
        (MA Anthropology)
 Bachelor of Education in Information Communication Technology
        (BICTE)",community Institution,"057-520620, 057-521867, 057- 523762",mmc@ntc.net.np
727,Pashupati Multiple Campus,"Mitrapark, Chabhil, Kathmandu",National Examinations Board,"Master of Business Studies
        (MBS)
 Bachelor of Education
        (BEd)
 MA in Sociology
 MA in Nepali
        (MA Nepali)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Computer Application
        (BCA)",community Institution,"01-4470412, 01-4468364",pashupati2037@hotmail.com
728,​Dhading Multiple Campus,"Baireni-7, Mastar, Baireni, Galchi, Dhading",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",community Institution,,
729,Lamki Multiple Campus,"Lamki, Lamkichuha, Kailali",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)",community Institution,091-540462,
730,​Simle Mahakali Multiple Campus,"Thakre, Dhading",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,,
731,Shaheed Smriti  Multiple Campus,"Ratnanagar, Bharatpur, Ratnanagar, Chitwan",Tribhuvan University,"Bachelor of Business Management
        (BBM)
 Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)
 MA in Sociology
 Master of Business Studies
        (MBS)
 MEd in English Language Education
 MEd Education Planning and Management
 Master of Education in Health Education
        (M.Ed)
 Master of Education in Population Education
        (M.Ed)
 MEd Nepali Language Education
 Bachelor of Education in Information Communication Technology
        (BICTE)",community Institution,"056-560147, 056-561447, 056-563047",info@ssmcchitwan.edu.np
732,Sindhuli Multiple Campus,"Sindhulimadi, Kamalamai, Sindhuli",National Examinations Board,"Master of Business Studies
        (MBS)
 Ten Plus Two (+2) Education
        (+2 Education)
 Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 MA in Sociology
 MEd Education Planning and Management
 MEd Nepali Language Education
 Master of Education in Population Education
        (M.Ed)
 Bachelor of Business Administration
        (BBA)",community Institution,047-520066,info@sindhulicampus.edu.np
733,Achham Multiple Campus,"Mangalsen, Mangalsen, Achham",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Master of Business Studies
        (MBS)",community Institution,097-620134,info@achhamcampus.edu.np
734,Nilkantha Multiple Campus,"Nilkantha-3, Dhading Besi, Nilkantha, Nilakantha, Dhading",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Master of Education General
        (M.Ed)
 Bachelor of Arts
        (BA)
 Master of Business Studies
        (MBS)
 Bachelor of Education in Information Communication Technology
        (BICTE)",community Institution,"010-520369, 520106",info@nilkanthacampus.edu.np
735,Kumarwarti Multiple Campus,"Kawasoti, Nawalpur",National Examinations Board,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Master of Business Studies
        (MBS)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Education
        (+2 Education)
 Bachelor of Arts
        (BA)
 Master of Education General
        (M.Ed)
 MA in Sociology",community Institution,078-540115,
736,​Shankarpur Campus,"Malikaarjun, Darchula",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
737,Madhya Rautahat Multiple Campus,"Garuda, Bairiya, Garuda, Garuda, Rautahat",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Master of Business Studies
        (MBS)",community Institution,,
738,Rapti Babai Campus,"Tulsipur, Dang",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Master of Education General
        (M.Ed)
 Master of Business Studies
        (MBS)
 MA in Sociology",community Institution,"082-520316, 082-522726",rbcdang@gmail.com
739,​Purandhara Campus,"Purandhara-5, Hansapur, Babai, Dang",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
740,Mangala Campus,"Suryapal, Sotipasal, Suryapal, Madhyanepal, Lamjung",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
741,Kalika Himalaya Campus,"Kalikasthan dhaibung - 5, Kalikasthan, Kalika, Rasuwa",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,010-670159,
742,Sarbamangala Multiple Campus,"Panchkhal-4, Panchkhal, Panchkhal, Kavrepalanchok",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Bachelor of Arts
        (BA)",community Institution,"977-011-499058, 499061",highersarbamangala@hotmail.com
743,Mahankal Campus,"Gotikhel, Mahankal, Lalitpur",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,977-1-6226858,school@mahankal.edu.np
744,Tej Ganga Multiple Campus,"Panauti, Kapalkot, Panauti, Kavrepalanchok",National Examinations Board,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Bachelor of Arts
        (BA)
 Master of Education General
        (M.Ed)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Master of Business Studies
        (MBS)",community Institution,"011-440028, 011-441477",info@tejganga.edu.np
745,Lalit Multiple Campus,"Pulchowk, Lalitpur",Tribhuvan University,"Master of Education General
        (M.Ed)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,01-5004220,
746,Kitini College,"Godawary, Taukhel, Godawari, Lalitpur",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,01-5560564,
747,Kanpur Campus,"Kanpur, Namobuddha, Kavrepalanchok",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,011-683444,
748,Rawa Campus,"Kharpa, Lamidanda, Khotang",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
749,Khwopa College of Engineering,"Libali, Bhaktapur",Tribhuvan University,"Bachelor of Civil Engineering
        (BE Civil)
 Bachelor of Electrical Engineering
        (BE)
 Bachelor of Computer Engineering
        (BE)",community Institution,"977-1-6614794,  01-6614798",khec@wlink.com.np
750,Janak Multiple Campus,"Methinkot-8, Methinkot, Namobuddha, Kavrepalanchok",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,,
751,Rabi Campus,"Rabi, Miklajung, Panchthar",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,9742037101,
752,Mahendra Adarsha Vidhyashram College,"Satdobato, Lalitpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",community Institution,"01-5554066,9840023220",
753,Chaitanya Multiple Campus,"Banepa Municipality-6, Banepa, Kavrepalanchok",National Examinations Board,"Masters of Education in Mathematics Education
 MEd Education Planning and Management
 MEd in English Language Education
 MEd Nepali Language Education
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Education
        (+2 Education)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,011-661722,info@chaitanya.edu.np
754,Bhim Datta Multiple Campus,"Amargadhi, Amargadhi, Dadeldhura",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",community Institution,,
755,​Chhathar Campus,"Chhathar, Tehrathum",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
756,Pathibhara Multiple Campus,"Phuiling, Taplejung",National Examinations Board,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)
 Ten Plus Two (+2) Management
        (+2 Mangement)",community Institution,024-460228,
757,Abukhairani Campus,"Aanbu Khaireni, Anbukhaireni, Tanahun",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,065-540452,
758,Bandipur Campus,"Bandipur, Tanahun",National Examinations Board,"Bachelor of Education
        (BEd)
 Ten Plus Two (+2) Education
        (+2 Education)",community Institution,"9846167743, 065-520168",
759,Bhanubhakta Multiple Campus,"Khaireni, Belchautara, Khaireni, Shuklagandaki, Tanahun",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 MEd Education Planning and Management",community Institution,065-570240,
760,Hari Khetan Multiple Campus,"Birgunj, Parsa",National Examinations Board,"BSc Environmental Science
 BSc Microbiology
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Science
        (+2 Science)
 Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Bachelor of Science (General)
        (BSc)
 MA in Sociology
 Master of Business Studies
        (MBS)
 MA in Rural Development
        (MRD)
 Bachelor of Laws
        (LLB)",community Institution,"051-522961, 051- 526167",info@hkmc.edu.np
761,Janjyoti Campus,"Bhimad, Bhimad, Tanahun",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,065-572455,campusjanjyoti@yahoo.com
762,Himshikhar Multiple Campus,"Ramghat, Bheriganga, Surkhet",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,,
763,Chapakot Campus,"Chapakot, Chapakot, Syangja",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,,
764,Gurbhakot Multiple Campus,"Gurbhakot, Surkhet",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
765,Malunga Sarbajanik Multiple Campus,"Malunga, Galyang, Syangja",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,,
766,Simta Multiple Campus,"Rakam, Simta, Surkhet",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
767,"Kalika Multiple Campus, Syangja","Balmata, Bhirkot, Syangja",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,,
768,Chijkumar Bishnukumari Campus,"Bandipur-1, Piple, Bandipur, Tanahun",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,065-580149,
769,Siddhartha Community Multiple Campus,"Phedikhola-2, Phedikhola, Phedikhola, Syangja",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,063-402032,
770,Purkot Kalika Campus,"Tanahu, Bhanu, Tanahun",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,,
771,Waling Multiple Campus,"Waling, Syangja",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)
 Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)
 MA in Population Studies
 MEd in English Language Education
 MEd Nepali Language Education
 Master of Business Studies
        (MBS)
 Bachelor of Education in Information Communication Technology
        (BICTE)",community Institution,063-440224,info@wmc.edu.np
772,Dronachal Campus,"Dullu, Dullu, Dailekh",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,"089-429514, 9748017442",
773,Adarsha Saula College,"Sainbu, Lalitpur -25, Lalitpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)
 Master of Business Studies
        (MBS)",community Institution,"01-5173049, 9841392403, 9841490333",adarsha@adarshacollege.edu.np
774,Halesi Campus,"Mahadevsthan, Halesi Tuwachung, Khotang",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
775,Ganesh Multiple Campus,"Chapali, Budhanilkantha, Kathmandu",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,01-4370092,
776,Triveni International College,"Talchowk, Pokhara, Pokhara Lekhnath, Kaski",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Master of Business Studies
        (MBS)",community Institution,"061-696500 , 061-561827",info@tic.edu.np
777,Gandhi Tulsi Campus,"Kadhaghari, Kageshwari Manohara, Kathmandu",,"Bachelor of Business Studies
        (BBS)",community Institution,01-4990205,
778,Ratnanagar College,"Ratnanagar-2, Ratnagar, Ratnanagar, Chitwan",,"Bachelor of Business Studies
        (BBS)",community Institution,56-560875,ratnagarcollege75@gmail.com
779,Huwas Multiple Campus,"Painyu, Parbat",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",community Institution,067-411044,
780,Huwas Multiple Campus,"Painyu, Parbat",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",community Institution,067-411044,
781,Devi Campus,"Birtamod-6, Birtamod, Birtamode, Jhapa",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Master of Business Studies
        (MBS)",community Institution,023-542799,devicampusbtm@gmail.com
782,Ilam Community Agriculture Campus,"Sera, Ilam-9, Ilam",Purbanchal University,BSc Hons in Agriculture,community Institution,9842635893,ilamagriculturecampus2078@gmail.com
783,Durga Devi Community Development Center,"Padajungi, Jhapa",Purbanchal University,BSc in Forestry,community Institution,9843000828,Memotac77@gmail.com
784,Vidhyapur Janata Multiple Campus,"Vidhyapur, Surkhet",Mid-West University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",constituent Institution,,janatamultiple922@gmail.com
785,Vidhyapur Janata Multiple Campus,"Vidhyapur, Surkhet",Mid-West University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",constituent Institution,,janatamultiple922@gmail.com
786,Bhanu Sanskrit Vidyapeeth,"Chudi, Tanahun",Nepal Sanskrit University,Uttar Madhyama,constituent Institution,977-65-690581,bhanuv@nsu.edu.np
787,University Vidyapeeth,"Beljhundi, Tulsipur, Dang",Nepal Sanskrit University,Acharya,constituent Institution,977-82-400022,university@nsu.edu.np
788,University Vidyapeeth,"Beljhundi, Tulsipur, Dang",Nepal Sanskrit University,Acharya,constituent Institution,977-82-400022,university@nsu.edu.np
789,Harihar Sanskrit Vidyapeeth,"Khidim, Arghakhanchi",Nepal Sanskrit University,Uttar Madhyama,constituent Institution,,hariharv@nsu.edu.np
790,Babai Multiple Campus,"Gulariya, Gulariya, Bardiya",Mid-West University,"Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Science
        (+2 Science)
 Ten Plus Two (+2) Education
        (+2 Education)",constituent Institution,"084-420129 , 084-421018",bmcbardiya@gmail.com
791,Ghanteshwar Seti Mahakali Multiple Campus,Doti,Far-Western University,"Bachelor of Education
        (BEd)
 Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Master of Education
        (MEd)",constituent Institution,09952400,ghanteshor@fwu.edu.np
792,Ghanteshwar Seti Mahakali Multiple Campus,Doti,Far-Western University,"Bachelor of Education
        (BEd)
 Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Master of Education
        (MEd)",constituent Institution,09952400,ghanteshor@fwu.edu.np
793,Ghanteshwar Seti Mahakali Multiple Campus,Doti,Far-Western University,"Bachelor of Education
        (BEd)
 Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Master of Education
        (MEd)",constituent Institution,09952400,ghanteshor@fwu.edu.np
794,Bajura Campus,"Badimalika Municipality – 08, Martadi, Bajura, Nepal, Badimalika, Bajura",Far-Western University,"Bachelor of Education
        (BEd)
 Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 BEd Computer Science and Information Technology
 Master of Arts
        (MA)
 Master of Education
        (MEd)",constituent Institution,097-541175,bajura@fwu.edu.np
795,Kalika Sanskrit Vidyapeeth,"Gaindakot, Nawalpur",Nepal Sanskrit University,"Shastri
 Uttar Madhyama",constituent Institution,,kalikav@nsu.edu.np
796,Janata Sanskrit Vidyapeeth,"Bijauri, Tulsipur, Dang",Nepal Sanskrit University,"One Year Bachelor of Education
        (BEd)
 Uttar Madhyama
 Shastri
 Pre-Diploma in Agriculture (Plant Science)
 Diploma in Agriculture (Plant Science)",constituent Institution,977-1-227193,valmeekiv@nsu.edu.np
797,Sharada Sanskrit Vidyapeeth,"Mahendranagar, Bhimdatta, Kanchanpur",Nepal Sanskrit University,"One Year Bachelor of Education
        (BEd)
 Uttar Madhyama
 Shastri",constituent Institution,977-99-521061,sharadav@nsu.edu.np
798,Janak Hajari Vidyapeeth,"Janakpurdham, Janakpur, Dhanusha",Nepal Sanskrit University,Acharya,constituent Institution,977-82-400022,university@nsu.edu.np
799,Durgalaxmi Multiple Campus,"Attariya, Godawari, Kailali",Far-Western University,"​Bachelor of Business Administration
        (BBA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)
 BEd Computer Science and Information Technology
 Master of Education
        (MEd)
 Master of Business Studies
        (MBS)",constituent Institution,091-550383,
800,Manilek Multiple Campus,"Melauli - 04, Kanda, Melauli, Baitadi",Far-Western University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",constituent Institution,,manilek@fwu.edu.np
801,Darchula Multiple Campus,"Khalanga, Mahakali, Darchula",Far-Western University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)
 Master of Education
        (MEd)",constituent Institution,"093-420219 , 093-420478",info@dmcdarchula.edu.np
802,Darchula Multiple Campus,"Khalanga, Mahakali, Darchula",Far-Western University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)
 Master of Education
        (MEd)",constituent Institution,"093-420219 , 093-420478",info@dmcdarchula.edu.np
803,Badimalika Multiple Campus,"Naubis, Budhiganga, Bajura",Far-Western University,"Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",constituent Institution,097-680144,
804,Bageshwari Multiple Campus,"Kohalpur, Banke",National Examinations Board,"Ten Plus Two (+2) Education
        (+2 Education)
 Ten Plus Two (+2) Management
        (+2 Mangement)",constituent Institution,081-540076,bmpckohalpur@gmail.com
805,Sitaram Multiple Campus,"Jijodamanda, Ramashram, Jijodamanda, Shikhar, Doti",Far-Western University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",constituent Institution,,
806,Patan Multiple Campus Baitadi,"Patan, Patan, Baitadi",National Examinations Board,"Ten Plus Two (+2) Education
        (+2 Education)",constituent Institution,095-690728,
807,Jagannath Multiple Campus,"Gothalapani, Dasharathchanda, Baitadi",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Education
        (+2 Education)",constituent Institution,095-520170,
808,Jagannath Multiple Campus,"Gothalapani, Dasharathchanda, Baitadi",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Education
        (+2 Education)",constituent Institution,095-520170,
809,Jagannath Multiple Campus,"Gothalapani, Dasharathchanda, Baitadi",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Education
        (+2 Education)",constituent Institution,095-520170,
810,Jagannath Multiple Campus,"Gothalapani, Dasharathchanda, Baitadi",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Education
        (+2 Education)",constituent Institution,095-520170,
811,RuRu Sanskrit Vidyapeeth,"Ridi, Ruru, Gulmi",Nepal Sanskrit University,"Uttar Madhyama
 Shastri",constituent Institution,079-400032,ruruv@nsu.edu.np
812,Jayaprithivi Multiple Campus,"Bhopur, JayaPrithivi, Bajhang",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Education
        (+2 Education)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)
 Master of Arts
        (MA)",constituent Institution,092421075,jayprithivi@fwu.edu.np
813,B.P.koirala Sanskrit Vidyapeeth,"Salleri, Solukhumbu",Nepal Sanskrit University,Uttar Madhyama,constituent Institution,977-38-690169,bpsoluv@nsu.edu.np
814,Yjnayavalkya Lakshminarayan Vidyapeeth,"Matihan, Matihani, Mahottari",Nepal Sanskrit University,"Shastri
 Uttar Madhyama",constituent Institution,977-44-540132,yalanav@nsu.edu.np
815,Vinduvasini Sanskrit Vidyapeeth,"Bhimkali, Pokhara, Pokhara Lekhnath, Kaski",Nepal Sanskrit University,"Shastri
 Uttar Madhyama",constituent Institution,061-523352,vinduvasiniv@nsu.edu.np
816,​Janata Adarsha Multiple Campus,"Pushpalal Chowk, Biratnagar, Morang",Purbanchal University,"Bachelor of Social Work
        (BSW)
 Bachelor of Education
        (BEd)
 MSc in Population and Rural Development
        (MSc PRD)",constituent Institution,021-462900,jamc.pu@gmail.com
817,Graduate School of Humanities and Social Sciences | Mid-West University,"Birendranagar, Surkhet",Mid-West University,"Bachelor of Arts in Development Economics
        (BA DE)
 MA in Development Economics
        (MDE)
 Bachelor of Arts in Social Work
        (BSW)
 Bachelor of Arts in International Relations and Diplomacy
        (BA IR)
 MA in International Relations and Diplomacy
        (MIR)
 Master in International Cooperation and Development
        (MICD)
 MA in Folklore and Cultural Studies
 Master in Social Work
        (MSW)
 Bachelor of Arts in Journalism and Mass Communication
        (BJM)
 Bachelor of Arts in Rural Development
        (BRD)
 Bachelor of Arts in English
        (BA English)
 Bachelor of Arts in Sociology
        (BA Sociology)
 MA in English
        (MA English)
 MA in Conflict and Peace Studies
 MA in Journalism and Mass Communication
 MA Nepali
        (MA Nepali)",constituent Institution,"083-520309, 083-520228",
818,GP Koirala College of Agriculture and Research Centre,"Gothgaun, Biratnagar, Sundarharaicha, Morang",Purbanchal University,BSc Hons in Agriculture,constituent Institution,9852023400,pugpcar@gmail.com
819,Graduate School of Management | Mid-West University,Surkhet,Mid-West University,"Bachelor of Business Administration
        (BBA)
 Bachelor of Business Studies
        (BBS)
 Master of Business Studies
        (MBS)
 Master of Business Administration
        (MBA)
 Bachelor of Hotel Management
        (BHM)
 Bachelor of Travel and Tourism Management
        (BTTM)
 MPhil in Management",constituent Institution,977-83525488,tms@mwu.edu.np
820,Graduate School of  Education | Mid-West University,Surkhet,Mid-West University,"Bachelor in Educational Sciences in Education
 Planning and Management
 Bachelor in Educational Sciences in English
 Bachelor in Educational Sciences in Health and Physical Education
 Bachelor in Educational Sciences in Mathematics
 Bachelor in Educational Sciences in Nepali
        (BES-Nepali)
 Masterof Educational Sciences in Curriculum and Evaluation
 Master of Educational Sciences in Education
 Planning and Management
 Master of Educational Sciences in English
        (MES English)",constituent Institution,977 - 83 525488,tes@mwu.edu.np
821,Triveni Multiple Campus,"Jogbudha, Parashuram, Dadeldhura",Far-Western University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Bachelor of Arts
        (BA)",constituent Institution,096-690472,
822,College of Natural Resource Management-Puranchaur,"Puranchaur, Pokhara, Pokhara Lekhnath, Kaski",Agriculture and Forestry University,"BSc Agriculture
        (B.Sc Ag)",constituent Institution,,
823,"College of Natural Resource Management (CNRM), Madichaur","Madichaur, Madi, Rolpa",Agriculture and Forestry University,"BSc Agriculture
        (B.Sc Ag)",constituent Institution,,cnrmmadichaur@afu.edu.np
824,"College of Natural Resource Management (CNRM), Bardibas","Bardibas, Mahottari",Agriculture and Forestry University,"BSc Agriculture
        (B.Sc Ag)",constituent Institution,,
825,"College of Natural Resource Management (CNRM), Khajura","Khajura, Nepalgunj, Khajura, Banke",Agriculture and Forestry University,"BSc Agriculture
        (B.Sc Ag)",constituent Institution,,
826,School of Law | Mid-West University,"Birendranagar, Surkhet",Mid-West University,"Bachelor of Arts - Bachelor of Legislative Law
        (BALLB)",constituent Institution,"083-521395,9858079900",
827,Gauradaha Agriculture Campus,"Gauradhaha, Jhapa",,BSc Agriculture,constituent Institution,,
828,Gauradaha Agriculture Campus,"Gauradhaha, Jhapa",,BSc Agriculture,constituent Institution,,
829,"College of Natural Resource and Management, Dullu","Dullu, Dailekh",,"BSc Agriculture
        (B.Sc Ag)",constituent Institution,,
830,School of Medicine and Allied Health Sciences - Manmohan Technical University,"Biratnagar, Budhiganga, Morang",Manmohan Technical University,"Bachelor in Pharmacy
        (B.Pharm)",constituent Institution,021-691096,info@mtu.edu.np
831,Central Campus Far-Western University,"Mahendranagar, Bhimdatta, Kanchanpur",Far-Western University,"​Bachelor of Business Administration
        (BBA)
 Master of Business Administration
        (MBA)",constituent Institution,,
832,"College of Natural Resource Management, Katari","Katari, Udayapur",Agriculture and Forestry University,BSc in Forestry,constituent Institution,035-450273,cnrmkatari@afu.edu.np
833,Kohalpur Model College,"Kohalpur-3, Ujyalo Bazar, Kohalpur, Banke",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Master of Business Studies
        (MBS)
 Bachelor of Information Management
        (BIM)",private Institution,,
834,International College of Hospitality Management,"Pingalasthan, Gaushala, Kathmandu",International Teaching University of Georgia,"Bachelor in Hospitality Management
        (BHM)",private Institution,,
835,ICHM-Lalitpur College,"Santinagar, Kathmandu","Nilai University, Malaysia","BA (Hons) in Business and Hospitality Management
        (BABHM)",private Institution,,
836,Hope International College,"Satdobato, Lalitpur",Council for Technical Education and Vocational Training,"Bachelor of Pharmacy
        (B Pharm)
 Bachelor of Public Health
        (BPH)
 BSc Nursing
 Certificate in Diagnostic Radiography
 Post Basic Bachelor in Nursing
        (BNS)",private Institution,,
837,Everest College of Nursing,"Tinkune, Subidhanagar, Kathmandu",Purbanchal University,"BSc Nursing
 Post Basic Bachelor in Nursing
        (BNS)",private Institution,,
